year,date,event,type
2020,"April 1, 2020, Wednesday",Bank's Holiday,Govt
2020,"April 10, 2020, Friday",Good Friday,Christian
2020,"April 12, 2020, Sunday",Easter,Christian
2020,"April 13, 2020, Monday",Solar New Year,Hindu
2020,"April 13, 2020, Monday",Baisakhi,Sikh
2020,"April 14, 2020, Tuesday",Ambedkar Jayanti,Govt
2020,"April 18, 2020, Saturday",Vallabhacharya Jayanti,Hindu
2020,"April 2, 2020, Thursday",Rama Navami,Hindu
2020,"April 22, 2020, Wednesday",Earth Day,Modern
2020,"April 28, 2020, Tuesday",Shankaracharya Jayanti,Hindu
2020,"April 28, 2020, Tuesday",Surdas Jayanti,Hindu
2020,"April 6, 2020, Monday",Mahavir Swami Jayanti,Hindu
2020,"August 11, 2020, Tuesday",Janmashtami *Smarta,Hindu
2020,"August 12, 2020, Wednesday",Janmashtami *ISKCON,Hindu
2020,"August 15, 2020, Saturday",Independence Day,Govt
2020,"August 2, 2020, Sunday",Friendship Day,Modern
2020,"August 20, 2020, Thursday",Al-Hijra,Islamic
2020,"August 20, 2020, Thursday",Islamic New Year,Islamic
2020,"August 22, 2020, Saturday",Ganesh Chaturthi,Hindu
2020,"August 29, 2020, Saturday",Day of Ashura,Islamic
2020,"August 29, 2020, Saturday",Muharram,Islamic
2020,"August 3, 2020, Monday",Raksha Bandhan,Hindu
2020,"August 3, 2020, Monday",Rakhi,Hindu
2020,"August 31, 2020, Monday",Onam,Hindu
2020,"December 1, 2020, Tuesday",World AIDS Day,Modern
2020,"December 21, 2020, Monday",Shortest Day of Year,Hindu
2020,"December 25, 2020, Friday",Merry Christmas,Christian
2020,"February 14, 2020, Friday",Valentine's Day,Modern
2020,"February 18, 2020, Tuesday",Maharishi Dayanand Saraswati Jayanti,Hindu
2020,"February 19, 2020, Wednesday",Chhatrapati Shivaji Maharaj Jayanti,Govt
2020,"February 21, 2020, Friday",Maha Shivaratri,Hindu
2020,"February 25, 2020, Tuesday",Ramakrishna Jayanti,Hindu
2020,"February 4, 2020, Tuesday",World Cancer Day,Modern
2020,"February 9, 2020, Sunday",Guru Ravidas Jayanti,Hindu
2020,"January 1, 2020, Wednesday",English New Year,Christian
2020,"January 12, 2020, Sunday",Swami Vivekananda Jayanti,Govt
2020,"January 12, 2020, Sunday",National Youth Day,Modern
2020,"January 14, 2020, Tuesday",Lohri,Sikh
2020,"January 15, 2020, Wednesday",Makara Sankranti,Hindu
2020,"January 15, 2020, Wednesday",Pongal,Hindu
2020,"January 17, 2020, Friday",Vivekananda Jayanti *Samvat,Hindu
2020,"January 2, 2020, Thursday",Guru Gobind Singh Jayanti,Hindu
2020,"January 23, 2020, Thursday",Subhas Chandra Bose Jayanti,Govt
2020,"January 26, 2020, Sunday",Republic Day,Govt
2020,"January 29, 2020, Wednesday",Vasant Panchami,Hindu
2020,"January 30, 2020, Thursday",Gandhi Punyatithi,Govt
2020,"January 6, 2020, Monday",Tailang Swami Jayanti,Hindu
2020,"July 27, 2020, Monday",Tulsidas Jayanti,Hindu
2020,"July 31, 2020, Friday",Eid al-Adha,Islamic
2020,"July 31, 2020, Friday",Bakrid,Islamic
2020,"July 5, 2020, Sunday",Guru Purnima,Hindu
